!SIL 1.0	sil
<UNK> 1.0	spn
mô 1.0	m o o
môi 1.0	m o o i
môn 1.0	m o o n
mông 1.0	m o o n g
mõ 1.0	m o x
mõm 1.0	m o x m
mù 1.0	m u f
mùa 1.0	m u f a
mùi 1.0	m u f i
mùn 1.0	m u f n
mùng 1.0	m u f n g
mú 1.0	m u s
múa 1.0	m u s a
múi 1.0	m u s i
mún 1.0	m u s n
múp 1.0	m u s p
mút 1.0	m u s t
măm 1.0	m a w m
măn 1.0	m a w n
măng 1.0	m a w n g
mĩm 1.0	m i x m
mũ 1.0	m u x
mũi 1.0	m u x i
mũm 1.0	m u x m
mơ 1.0	m o w
mơn 1.0	m o w n
mưa 1.0	m u w a
mưu 1.0	m u w u
mươi 1.0	m u w o w i
mương 1.0	m u w o w n g
mướn 1.0	m u w o w s n
mướp 1.0	m u w o w s p
mướt 1.0	m u w o w s t
mười 1.0	m u w o w f i
mường 1.0	m u w o w f n g
mượn 1.0	m u w o w j n
mượt 1.0	m u w o w j t
mạ 1.0	m a j
mạc 1.0	m a j c
mạch 1.0	m a j c h
mại 1.0	m a j i
mạn 1.0	m a j n
mạng 1.0	m a j n g
mạnh 1.0	m a j n h
mạo 1.0	m a j o
mạp 1.0	m a j p
mạt 1.0	m a j t
mạy 1.0	m a j y
mả 1.0	m a r
mải 1.0	m a r i
mảng 1.0	m a r n g
mảnh 1.0	m a r n h
mấn 1.0	m a a s n
mấp 1.0	m a a s p
mất 1.0	m a a s t
mấu 1.0	m a a s u
mấy 1.0	m a a s y
mầm 1.0	m a a f m
mần 1.0	m a a f n
mầu 1.0	m a a f u
mẩn 1.0	m a a r n
mẩu 1.0	m a a r u
mẩy 1.0	m a a r y
mẫn 1.0	m a a x n
mẫu 1.0	m a a x u
mận 1.0	m a a j n
mập 1.0	m a a j p
mật 1.0	m a a j t
mậu 1.0	m a a j u
mắc 1.0	m a w s c
mắm 1.0	m a w s m
mắn 1.0	m a w s n
mắng 1.0	m a w s n g
mắt 1.0	m a w s t
mằn 1.0	m a w f n
mẳn 1.0	m a w r n
mặc 1.0	m a w j c
mặn 1.0	m a w j n
mặt 1.0	m a w j t
mẹ 1.0	m e j
mẹo 1.0	m e j o
mẹt 1.0	m e j t
mẻ 1.0	m e r
mẽ 1.0	m e x
mếch 1.0	m e e s c h
mến 1.0	m e e s n
mếu 1.0	m e e s u
mề 1.0	m e e f
mềm 1.0	m e e f m
mền 1.0	m e e f n
mệ 1.0	m e e j
mệnh 1.0	m e e j n h
mệt 1.0	m e e j t
mỉ 1.0	m i r
mỉa 1.0	m i r a
mỉm 1.0	m i r m
mị 1.0	m i j
mịn 1.0	m i j n
mịt 1.0	m i j t
mọ 1.0	m o j
mọc 1.0	m o j c
mọi 1.0	m o j i
mọn 1.0	m o j n
mọng 1.0	m o j n g
mọt 1.0	m o j t
mỏ 1.0	m o r
mỏi 1.0	m o r i
mỏm 1.0	m o r m
mỏng 1.0	m o r n g
mố 1.0	m o o s
mốc 1.0	m o o s c
mối 1.0	m o o s i
mốt 1.0	m o o s t
mồ 1.0	m o o f
mồi 1.0	m o o f i
mồm 1.0	m o o f m
mồng 1.0	m o o f n g
mổ 1.0	m o o r
mỗ 1.0	m o o x
mỗi 1.0	m o o x i
mộ 1.0	m o o j
mộc 1.0	m o o j c
mộng 1.0	m o o j n g
một 1.0	m o o j t
mớ 1.0	m o w s
mới 1.0	m o w s i
mớp 1.0	m o w s p
mờ 1.0	m o w f
mời 1.0	m o w f i
mở 1.0	m o w r
mởn 1.0	m o w r n
mỡ 1.0	m o w x
mợ 1.0	m o w j
mụ 1.0	m u j
mục 1.0	m u j c
mụn 1.0	m u j n
mụp 1.0	m u j p
mủ 1.0	m u r
mủi 1.0	m u r i
mủn 1.0	m u r n
mức 1.0	m u w s c
mứt 1.0	m u w s t
mừng 1.0	m u w f n g
mửa 1.0	m u w r a
mực 1.0	m u w j c
mỹ 1.0	m y x
na 1.0	n a
nai 1.0	n a i
nam 1.0	n a m
nan 1.0	n a n
nang 1.0	n a n g
nanh 1.0	n a n h
nao 1.0	n a o
nay 1.0	n a y
nem 1.0	n e m
neo 1.0	n e o
nga 1.0	n g a
ngai 1.0	n g a i
ngan 1.0	n g a n
ngang 1.0	n g a n g
ngao 1.0	n g a o
ngay 1.0	n g a y
nghe 1.0	n g h e
nghi 1.0	n g h i
nghiêm 1.0	n g h i e e m
nghiên 1.0	n g h i e e n
nghiêng 1.0	n g h i e e n g
nghiến 1.0	n g h i e e s n
nghiền 1.0	n g h i e e f n
nghiệm 1.0	n g h i e e j m
nghiện 1.0	n g h i e e j n
nghiệp 1.0	n g h i e e j p
nghiệt 1.0	n g h i e e j t
nghè 1.0	n g h e f
nghèo 1.0	n g h e f o
nghé 1.0	n g h e s
nghê 1.0	n g h e e
nghênh 1.0	n g h e e n h
nghêu 1.0	n g h e e u
nghìn 1.0	n g h i f n
nghĩ 1.0	n g h i x
nghĩa 1.0	n g h i x a
nghĩnh 1.0	n g h i x n h
nghẹn 1.0	n g h e j n
nghẹo 1.0	n g h e j o
nghẹt 1.0	n g h e j t
nghẻo 1.0	n g h e r o
nghẽn 1.0	n g h e x n
nghếch 1.0	n g h e e s c h
nghề 1.0	n g h e e f
nghệ 1.0	n g h e e j
nghỉ 1.0	n g h i r
nghỉu 1.0	n g h i r u
nghị 1.0	n g h i j
nghịch 1.0	n g h i j c h
ngoa 1.0	n g o a
ngoan 1.0	n g o a n
ngoang 1.0	n g o a n g
ngoay 1.0	n g o a y
ngoe 1.0	n g o e
ngoi 1.0	n g o i
ngon 1.0	n g o n
ngoài 1.0	n g o a f i
ngoàm 1.0	n g o a f m
ngoác 1.0	n g o a s c
ngoách 1.0	n g o a s c h
ngoái 1.0	n g o a s i
ngoáo 1.0	n g o a s o
ngoáy 1.0	n g o a s y
ngoãn 1.0	n g o a x n
ngoèo 1.0	n g o e f o
ngoéo 1.0	n g o e s o
ngoại 1.0	n g o a j i
ngoạn 1.0	n g o a j n
ngoảnh 1.0	n g o a r n h
ngoắc 1.0	n g o a w s c
ngoắt 1.0	n g o a w s t
ngoằn 1.0	n g o a w f n
ngoằng 1.0	n g o a w f n g
ngoẵng 1.0	n g o a w x n g
ngoặc 1.0	n g o a w j c
ngoặt 1.0	n g o a w j t
ngu 1.0	n g u
nguy 1.0	n g u y
nguyên 1.0	n g u y e e n
nguyền 1.0	n g u y e e f n
nguyễn 1.0	n g u y e e x n
nguyện 1.0	n g u y e e j n
nguyệt 1.0	n g u y e e j t
nguôi 1.0	n g u o o i
nguẩy 1.0	n g u a a r y
nguồi 1.0	n g u o o f i
nguồn 1.0	n g u o o f n
nguội 1.0	n g u o o j i
ngà 1.0	n g a f
ngài 1.0	n g a f i
ngàm 1.0	n g a f m
ngàn 1.0	n g a f n
ngàng 1.0	n g a f n g
ngành 1.0	n g a f n h
ngào 1.0	n g a f o
ngày 1.0	n g a f y
ngách 1.0	n g a s c h
ngán 1.0	n g a s n
ngáng 1.0	n g a s n g
ngáo 1.0	n g a s o
ngáp 1.0	n g a s p
ngát 1.0	n g a s t
ngáu 1.0	n g a s u
ngáy 1.0	n g a s y
ngâm 1.0	n g a a m
ngân 1.0	n g a a n
ngây 1.0	n g a a y
ngã 1.0	n g a x
ngãi 1.0	n g a x i
ngía 1.0	n g i s a
ngò 1.0	n g o f
ngòi 1.0	n g o f i
ngó 1.0	n g o s
ngóc 1.0	n g o s c
ngóe 1.0	n g o s e
ngói 1.0	n g o s i
ngón 1.0	n g o s n
ngóng 1.0	n g o s n g
ngót 1.0	n g o s t
ngô 1.0	n g o o
ngôi 1.0	n g o o i
ngôn 1.0	n g o o n
ngông 1.0	n g o o n g
ngõ 1.0	n g o x
ngùi 1.0	n g u f i
ngúc 1.0	n g u s c
ngúng 1.0	n g u s n g
ngút 1.0	n g u s t
ngăn 1.0	n g a w n
ngũ 1.0	n g u x
ngơ 1.0	n g o w
ngơi 1.0	n g o w i
ngư 1.0	n g u w
ngưa 1.0	n g u w a
ngưng 1.0	n g u w n g
ngưu 1.0	n g u w u
ngươi 1.0	n g u w o w i
ngước 1.0	n g u w o w s c
người 1.0	n g u w o w f i
ngưởng 1.0	n g u w o w r n g
ngưỡng 1.0	n g u w o w x n g
ngược 1.0	n g u w o w j c
ngượng 1.0	n g u w o w j n g
ngạc 1.0	n g a j c
ngại 1.0	n g a j i
ngạn 1.0	n g a j n
ngạo 1.0	n g a j o
ngạt 1.0	n g a j t
ngả 1.0	n g a r
ngải 1.0	n g a r i
ngảnh 1.0	n g a r n h
ngất 1.0	n g a a s t
ngấu 1.0	n g a a s u
ngấy 1.0	n g a a s y
ngầm 1.0	n g a a f m
ngần 1.0	n g a a f n
ngầy 1.0	n g a a f y
ngẩm 1.0	n g a a r m
ngẩn 1.0	n g a a r n
ngẩng 1.0	n g a a r n g
ngẫm 1.0	n g a a x m
ngẫu 1.0	n g a a x u
ngậm 1.0	n g a a j m
ngập 1.0	n g a a j p
ngậu 1.0	n g a a j u
ngậy 1.0	n g a a j y
ngắc 1.0	n g a w s c
ngắm 1.0	n g a w s m
ngắn 1.0	n g a w s n
ngắt 1.0	n g a w s t
ngẳng 1.0	n g a w r n g
ngẵng 1.0	n g a w x n g
ngặt 1.0	n g a w j t
ngọ 1.0	n g o j
ngọc 1.0	n g o j c
ngọn 1.0	n g o j n
ngọng 1.0	n g o j n g
ngọt 1.0	n g o j t
ngỏ 1.0	n g o r
ngốc 1.0	n g o o s c
ngồi 1.0	n g o o f i
ngồm 1.0	n g o o f m
ngồn 1.0	n g o o f n
ngồng 1.0	n g o o f n g
ngổ 1.0	n g o o r
ngổm 1.0	n g o o r m
ngỗ 1.0	n g o o x
ngỗng 1.0	n g o o x n g
ngộ 1.0	n g o o j
ngộn 1.0	n g o o j n
ngột 1.0	n g o o j t
ngớ 1.0	n g o w s
ngớn 1.0	n g o w s n
ngớt 1.0	n g o w s t
ngờ 1.0	n g o w f
ngời 1.0	n g o w f i
ngỡ 1.0	n g o w x
ngợ 1.0	n g o w j
ngợi 1.0	n g o w j i
ngợm 1.0	n g o w j m
ngợp 1.0	n g o w j p
ngụ 1.0	n g u j
ngụa 1.0	n g u j a
ngục 1.0	n g u j c
ngụm 1.0	n g u j m
ngụp 1.0	n g u j p
ngủ 1.0	n g u r
ngủi 1.0	n g u r i
ngủn 1.0	n g u r n
ngứ 1.0	n g u w s
ngứa 1.0	n g u w s a
ngừ 1.0	n g u w f
ngừa 1.0	n g u w f a
ngừng 1.0	n g u w f n g
ngửi 1.0	n g u w r i
ngửng 1.0	n g u w r n g
ngữ 1.0	n g u w x
ngự 1.0	n g u w j
ngựa 1.0	n g u w j a
ngực 1.0	n g u w j c
nha 1.0	n h a
nhai 1.0	n h a i
nham 1.0	n h a m
nhan 1.0	n h a n
nhang 1.0	n h a n g
nhanh 1.0	n h a n h
nhao 1.0	n h a o
nhau 1.0	n h a u
nhay 1.0	n h a y
nhe 1.0	n h e
nhem 1.0	n h e m
nhen 1.0	n h e n
nheo 1.0	n h e o
nhi 1.0	n h i
nhiên 1.0	n h i e e n
nhiêu 1.0	n h i e e u
nhiếc 1.0	n h i e e s c
nhiếp 1.0	n h i e e s p
nhiều 1.0	n h i e e f u
nhiễm 1.0	n h i e e x m
nhiễu 1.0	n h i e e x u
nhiệm 1.0	n h i e e j m
nhiệt 1.0	n h i e e j t
nho 1.0	n h o
nhoai 1.0	n h o a i
nhoe 1.0	n h o e
nhoen 1.0	n h o e n
nhom 1.0	n h o m
nhong 1.0	n h o n g
nhoài 1.0	n h o a f i
nhoáng 1.0	n h o a s n g
nhoét 1.0	n h o e s t
nhoẻn 1.0	n h o e r n
nhu 1.0	n h u
nhung 1.0	n h u n g
nhuyễn 1.0	n h u y e e x n
nhuần 1.0	n h u a a f n
nhuận 1.0	n h u a a j n
nhuệ 1.0	n h u e e j
nhuốm 1.0	n h u o o s m
nhuộm 1.0	n h u o o j m
nhà 1.0	n h a f
nhài 1.0	n h a f i
nhàm 1.0	n h a f m
nhàn 1.0	n h a f n
nhàng 1.0	n h a f n g
nhành 1.0	n h a f n h
nhào 1.0	n h a f o
nhàu 1.0	n h a f u
nhá 1.0	n h a s
nhác 1.0	n h a s c
nháng 1.0	n h a s n g
nhánh 1.0	n h a s n h
nháo 1.0	n h a s o
nhát 1.0	n h a s t
nháy 1.0	n h a s y
nhâm 1.0	n h a a m
nhân 1.0	n h a a n
nhã 1.0	n h a x
nhãi 1.0	n h a x i
nhãn 1.0	n h a x n
nhãng 1.0	n h a x n g
nhão 1.0	n h a x o
nhè 1.0	n h e f
nhèm 1.0	n h e f m
nhé 1.0	n h e s
nhép 1.0	n h e s p
nhét 1.0	n h e s t
nhì 1.0	n h i f
nhìn 1.0	n h i f n
nhí 1.0	n h i s
nhích 1.0	n h i s c h
nhím 1.0	n h i s m
nhít 1.0	n h i s t
nhíu 1.0	n h i s u
nhòe 1.0	n h o f e
nhòm 1.0	n h o f m
nhóc 1.0	n h o s c
nhói 1.0	n h o s i
nhóm 1.0	n h o s m
nhóng 1.0	n h o s n g
nhóp 1.0	n h o s p
nhót 1.0	n h o s t
nhô 1.0	n h o o
nhôm 1.0	n h o o m
nhôn 1.0	n h o o n
nhông 1.0	n h o o n g
nhõ 1.0	n h o x
nhõm 1.0	n h o x m
nhõn 1.0	n h o x n
nhõng 1.0	n h o x n g
nhù 1.0	n h u f
nhùi 1.0	n h u f i
nhùng 1.0	n h u f n g
nhú 1.0	n h u s
nhúa 1.0	n h u s a
nhúc 1.0	n h u s c
nhún 1.0	n h u s n
nhúng 1.0	n h u s n g
nhút 1.0	n h u s t
nhăm 1.0	n h a w m
nhăn 1.0	n h a w n
nhăng 1.0	n h a w n g
nhĩ 1.0	n h i x
nhũ 1.0	n h u x
nhũng 1.0	n h u x n g
nhơi 1.0	n h o w i
nhơn 1.0	n h o w n
như 1.0	n h u w
nhưng 1.0	n h u w n g
nhướng 1.0	n h u w o w s n g
nhường 1.0	n h u w o w f n g
nhưỡng 1.0	n h u w o w x n g
nhược 1.0	n h u w o w j c
nhượng 1.0	n h u w o w j n g
nhạc 1.0	n h a j c
nhại 1.0	n h a j i
nhạnh 1.0	n h a j n h
nhạo 1.0	n h a j o
nhạt 1.0	n h a j t
nhạy 1.0	n h a j y
nhả 1.0	n h a r
nhải 1.0	n h a r i
nhảm 1.0	n h a r m
nhảnh 1.0	n h a r n h
nhảy 1.0	n h a r y
nhấc 1.0	n h a a s c
nhấm 1.0	n h a a s m
nhấn 1.0	n h a a s n
nhấp 1.0	n h a a s p
nhất 1.0	n h a a s t
nhầm 1.0	n h a a f m
nhầy 1.0	n h a a f y
nhẩm 1.0	n h a a r m
nhẫn 1.0	n h a a x n
nhẫy 1.0	n h a a x y
nhậm 1.0	n h a a j m
nhận 1.0	n h a a j n
nhập 1.0	n h a a j p
nhật 1.0	n h a a j t
nhậu 1.0	n h a a j u
nhắc 1.0	n h a w s c
nhắm 1.0	n h a w s m
nhắn 1.0	n h a w s n
nhắt 1.0	n h a w s t
nhằm 1.0	n h a w f m
nhằn 1.0	n h a w f n
nhằng 1.0	n h a w f n g
nhẵn 1.0	n h a w x n
nhặm 1.0	n h a w j m
nhặng 1.0	n h a w j n g
nhặt 1.0	n h a w j t
nhẹ 1.0	n h e j
nhẹm 1.0	n h e j m
nhẹp 1.0	n h e j p
nhẻm 1.0	n h e r m
nhẽo 1.0	n h e x o
nhếch 1.0	n h e e s c h
nhện 1.0	n h e e j n
nhệu 1.0	n h e e j u
nhỉ 1.0	n h i r
nhỉnh 1.0	n h i r n h
nhị 1.0	n h i j
nhịn 1.0	n h i j n
nhịp 1.0	n h i j p
nhọc 1.0	n h o j c
nhọn 1.0	n h o j n
nhọt 1.0	n h o j t
nhỏ 1.0	n h o r
nhỏm 1.0	n h o r m
nhố 1.0	n h o o s
nhối 1.0	n h o o s i
nhốt 1.0	n h o o s t
nhồi 1.0	n h o o f i
nhồn 1.0	n h o o f n
nhồng 1.0	n h o o f n g
nhổm 1.0	n h o o r m
nhổn 1.0	n h o o r n
nhộn 1.0	n h o o j n
nhột 1.0	n h o o j t
nhớ 1.0	n h o w s
nhớp 1.0	n h o w s p
nhờ 1.0	n h o w f
nhờn 1.0	n h o w f n
nhở 1.0	n h o w r
nhợt 1.0	n h o w j t
nhụa 1.0	n h u j a
nhục 1.0	n h u j c
nhụy 1.0	n h u j y
nhủ 1.0	n h u r
nhủi 1.0	n h u r i
nhủn 1.0	n h u r n
nhứ 1.0	n h u w s
nhức 1.0	n h u w s c
nhừ 1.0	n h u w f
những 1.0	n h u w x n g
nhựa 1.0	n h u w j a
nhựt 1.0	n h u w j t
ni 1.0	n i
nia 1.0	n i a
nin 1.0	n i n
ninh 1.0	n i n h
niu 1.0	n i u
niêm 1.0	n i e e m
niên 1.0	n i e e n
niêu 1.0	n i e e u
niết 1.0	n i e e s t
niềm 1.0	n i e e f m
niềng 1.0	n i e e f n g
niệm 1.0	n i e e j m
niệu 1.0	n i e e j u
no 1.0	n o
nom 1.0	n o m
non 1.0	n o n
nong 1.0	n o n g
nua 1.0	n u a
nung 1.0	n u n g
nuôi 1.0	n u o o i
nuông 1.0	n u o o n g
nuối 1.0	n u o o s i
nuốt 1.0	n u o o s t
nà 1.0	n a f
nàn 1.0	n a f n
nàng 1.0	n a f n g
nành 1.0	n a f n h
nào 1.0	n a f o
này 1.0	n a f y
ná 1.0	n a s
nách 1.0	n a s c h
nám 1.0	n a s m
nán 1.0	n a s n
náo 1.0	n a s o
nát 1.0	n a s t
náu 1.0	n a s u
náy 1.0	n a s y
nâng 1.0	n a a n g
nâu 1.0	n a a u
nây 1.0	n a a y
não 1.0	n a x o
nãy 1.0	n a x y
nè 1.0	n e f
nèo 1.0	n e f o
né 1.0	n e s
ném 1.0	n e s m
nén 1.0	n e s n
néo 1.0	n e s o
nép 1.0	n e s p
nét 1.0	n e s t
nê 1.0	n e e
nêm 1.0	n e e m
nên 1.0	n e e n
nêu 1.0	n e e u
nì 1.0	n i f
nình 1.0	n i f n h
ních 1.0	n i s c h
nín 1.0	n i s n
nính 1.0	n i s n h
nít 1.0	n i s t
níu 1.0	n i s u
nó 1.0	n o s
nóc 1.0	n o s c
nói 1.0	n o s i
nón 1.0	n o s n
nóng 1.0	n o s n g
nót 1.0	n o s t
nô 1.0	n o o
nôi 1.0	n o o i
nôm 1.0	n o o m
nôn 1.0	n o o n
nông 1.0	n o o n g
nõn 1.0	n o x n
nùn 1.0	n u f n
nùng 1.0	n u f n g
núc 1.0	n u s c
núi 1.0	n u s i
núm 1.0	n u s m
núng 1.0	n u s n g
núp 1.0	n u s p
nút 1.0	n u s t
năm 1.0	n a w m
năn 1.0	n a w n
năng 1.0	n a w n g
nĩa 1.0	n i x a
nũng 1.0	n u x n g
nơi 1.0	n o w i
nơm 1.0	n o w m
nư 1.0	n u w
nương 1.0	n u w o w n g
nước 1.0	n u w o w s c
nướng 1.0	n u w o w s n g
nạ 1.0	n a j
nạc 1.0	n a j c
nại 1.0	n a j i
nạn 1.0	n a j n
nạnh 1.0	n a j n h
nạo 1.0	n a j o
nạp 1.0	n a j p
nạt 1.0	n a j t
nả 1.0	n a r
nản 1.0	n a r n
nảy 1.0	n a r y
nấc 1.0	n a a s c
nấm 1.0	n a a s m
nấng 1.0	n a a s n g
nấu 1.0	n a a s u
nấy 1.0	n a a s y
nần 1.0	n a a f n
nầy 1.0	n a a f y
nậm 1.0	n a a j m
nập 1.0	n a a j p
nậu 1.0	n a a j u
nắc 1.0	n a w s c
nắm 1.0	n a w s m
nắn 1.0	n a w s n
nắng 1.0	n a w s n g
nắp 1.0	n a w s p
nằm 1.0	n a w f m
nằn 1.0	n a w f n
nằng 1.0	n a w f n g
nẵng 1.0	n a w x n g
nặc 1.0	n a w j c
nặng 1.0	n a w j n g
nẹp 1.0	n e j p
nẻ 1.0	n e r
nẻo 1.0	n e r o
nếm 1.0	n e e s m
nến 1.0	n e e s n
nếp 1.0	n e e s p
nết 1.0	n e e s t
nếu 1.0	n e e s u
nề 1.0	n e e f
nền 1.0	n e e f n
nể 1.0	n e e r
nệ 1.0	n e e j
nệm 1.0	n e e j m
nỉ 1.0	n i r
nịch 1.0	n i j c h
nịnh 1.0	n i j n h
nịu 1.0	n i j u
nọ 1.0	n o j
nọc 1.0	n o j c
nọng 1.0	n o j n g
nọt 1.0	n o j t
nỏ 1.0	n o r
nố 1.0	n o o s
nốc 1.0	n o o s c
nối 1.0	n o o s i
nống 1.0	n o o s n g
nốt 1.0	n o o s t
nồ 1.0	n o o f
nồi 1.0	n o o f i
nồm 1.0	n o o f m
nồng 1.0	n o o f n g
nổ 1.0	n o o r
nổi 1.0	n o o r i
nỗ 1.0	n o o x
nỗi 1.0	n o o x i
nộ 1.0	n o o j
nộc 1.0	n o o j c
nội 1.0	n o o j i
nộn 1.0	n o o j n
nộp 1.0	n o o j p
nớ 1.0	n o w s
nới 1.0	n o w s i
nớp 1.0	n o w s p
nớt 1.0	n o w s t
nở 1.0	n o w r
nỡ 1.0	n o w x
nợ 1.0	n o w j
nụ 1.0	n u j
nức 1.0	n u w s c
nứt 1.0	n u w s t
nửa 1.0	n u w r a
nữ 1.0	n u w x
nữa 1.0	n u w x a
nự 1.0	n u w j
nực 1.0	n u w j c
o 1.0	o
oai 1.0	o a i
oan 1.0	o a n
oanh 1.0	o a n h
oe 1.0	o e
oi 1.0	o i
om 1.0	o m
ong 1.0	o n g
oành 1.0	o a f n h
oác 1.0	o a s c
oách 1.0	o a s c h
oái 1.0	o a s i
oán 1.0	o a s n
oăm 1.0	o a w m
oạp 1.0	o a j p
oải 1.0	o a r i
oắt 1.0	o a w s t
oằn 1.0	o a w f n
pa 1.0	p a
pha 1.0	p h a
phai 1.0	p h a i
phan 1.0	p h a n
phanh 1.0	p h a n h
phao 1.0	p h a o
phay 1.0	p h a y
phe 1.0	p h e
phen 1.0	p h e n
phi 1.0	p h i
phim 1.0	p h i m
phiên 1.0	p h i e e n
phiêu 1.0	p h i e e u
phiếm 1.0	p h i e e s m
phiết 1.0	p h i e e s t
phiếu 1.0	p h i e e s u
phiền 1.0	p h i e e f n
phiện 1.0	p h i e e j n
pho 1.0	p h o
phong 1.0	p h o n g
phu 1.0	p h u
phun 1.0	p h u n
phung 1.0	p h u n g
phuy 1.0	p h u y
phàm 1.0	p h a f m
phàn 1.0	p h a f n
phào 1.0	p h a f o
phá 1.0	p h a s
phác 1.0	p h a s c
phách 1.0	p h a s c h
phái 1.0	p h a s i
phán 1.0	p h a s n
pháo 1.0	p h a s o
pháp 1.0	p h a s p
phát 1.0	p h a s t
phân 1.0	p h a a n
phây 1.0	p h a a y
phè 1.0	p h e f
phèn 1.0	p h e f n
phèng 1.0	p h e f n g
phèo 1.0	p h e f o
phéng 1.0	p h e s n g
phép 1.0	p h e s p
phét 1.0	p h e s t
phê 1.0	p h e e
phì 1.0	p h i f
phình 1.0	p h i f n h
phí 1.0	p h i s
phía 1.0	p h i s a
phích 1.0	p h i s c h
phím 1.0	p h i s m
phính 1.0	p h i s n h
phò 1.0	p h o f
phòi 1.0	p h o f i
phòng 1.0	p h o f n g
phó 1.0	p h o s
phóc 1.0	p h o s c
phóng 1.0	p h o s n g
phót 1.0	p h o s t
phô 1.0	p h o o
phôi 1.0	p h o o i
phù 1.0	p h u f
phùng 1.0	p h u f n g
phú 1.0	p h u s
phúc 1.0	p h u s c
phúng 1.0	p h u s n g
phút 1.0	p h u s t
phăng 1.0	p h a w n g
phĩnh 1.0	p h i x n h
phơ 1.0	p h o w
phơi 1.0	p h o w i
phơn 1.0	p h o w n
phương 1.0	p h u w o w n g
phước 1.0	p h u w o w s c
phướn 1.0	p h u w o w s n
phường 1.0	p h u w o w f n g
phượng 1.0	p h u w o w j n g
phạc 1.0	p h a j c
phạm 1.0	p h a j m
phạng 1.0	p h a j n g
phạt 1.0	p h a j t
phả 1.0	p h a r
phải 1.0	p h a r i
phản 1.0	p h a r n
phảy 1.0	p h a r y
phấn 1.0	p h a a s n
phất 1.0	p h a a s t
phầm 1.0	p h a a f m
phần 1.0	p h a a f n
phẩm 1.0	p h a a r m
phẩy 1.0	p h a a r y
phẫn 1.0	p h a a x n
phẫu 1.0	p h a a x u
phận 1.0	p h a a j n
phật 1.0	p h a a j t
phắc 1.0	p h a w s c
phẳng 1.0	p h a w r n g
phế 1.0	p h e e s
phếch 1.0	p h e e s c h
phết 1.0	p h e e s t
phề 1.0	p h e e f
phều 1.0	p h e e f u
phễu 1.0	p h e e x u
phệ 1.0	p h e e j
phệnh 1.0	p h e e j n h
phỉ 1.0	p h i r
phỉnh 1.0	p h i r n h
phịch 1.0	p h i j c h
phọt 1.0	p h o j t
phỏng 1.0	p h o r n g
phố 1.0	p h o o s
phốc 1.0	p h o o s c
phối 1.0	p h o o s i
phồm 1.0	p h o o f m
phồng 1.0	p h o o f n g
phổ 1.0	p h o o r
phổi 1.0	p h o o r i
phổng 1.0	p h o o r n g
phỗng 1.0	p h o o x n g
phộng 1.0	p h o o j n g
phới 1.0	p h o w s i
phớt 1.0	p h o w s t
phờ 1.0	p h o w f
phở 1.0	p h o w r
phỡn 1.0	p h o w x n
phụ 1.0	p h u j
phục 1.0	p h u j c
phụng 1.0	p h u j n g
phủ 1.0	p h u r
phủi 1.0	p h u r i
phức 1.0	p h u w s c
pin 1.0	p i n
piêu 1.0	p i e e u
pí 1.0	p i s
qua 1.0	q u a
quai 1.0	q u a i
quan 1.0	q u a n
quang 1.0	q u a n g
quanh 1.0	q u a n h
quay 1.0	q u a y
que 1.0	q u e
quen 1.0	q u e n
queo 1.0	q u e o
qui 1.0	q u i
quoạng 1.0	q u o a j n g
quy 1.0	q u y
quyên 1.0	q u y e e n
quyến 1.0	q u y e e s n
quyết 1.0	q u y e e s t
quyền 1.0	q u y e e f n
quyển 1.0	q u y e e r n
quyện 1.0	q u y e e j n
quyệt 1.0	q u y e e j t
quà 1.0	q u a f
quài 1.0	q u a f i
quàng 1.0	q u a f n g
quày 1.0	q u a f y
quá 1.0	q u a s
quác 1.0	q u a s c
quách 1.0	q u a s c h
quái 1.0	q u a s i
quán 1.0	q u a s n
quáng 1.0	q u a s n g
quánh 1.0	q u a s n h
quát 1.0	q u a s t
quân 1.0	q u a a n
quây 1.0	q u a a y
quãng 1.0	q u a x n g
què 1.0	q u e f
quèn 1.0	q u e f n
quét 1.0	q u e s t
quê 1.0	q u e e
quên 1.0	q u e e n
quì 1.0	q u i f
quí 1.0	q u i s
quít 1.0	q u i s t
quý 1.0	q u y s
quýnh 1.0	q u y s n h
quýt 1.0	q u y s t
quăm 1.0	q u a w m
quăng 1.0	q u a w n g
quĩ 1.0	q u i x
quạc 1.0	q u a j c
quạch 1.0	q u a j c h
quại 1.0	q u a j i
quạng 1.0	q u a j n g
quạnh 1.0	q u a j n h
quạt 1.0	q u a j t
quả 1.0	q u a r
quải 1.0	q u a r i
quản 1.0	q u a r n
quảng 1.0	q u a r n g
quảy 1.0	q u a r y
quấn 1.0	q u a a s n
quất 1.0	q u a a s t
quấy 1.0	q u a a s y
quần 1.0	q u a a f n
quầng 1.0	q u a a f n g
quầy 1.0	q u a a f y
quẩn 1.0	q u a a r n
quẫn 1.0	q u a a x n
quẫy 1.0	q u a a x y
quận 1.0	q u a a j n
quật 1.0	q u a a j t
quậy 1.0	q u a a j y
quắc 1.0	q u a w s c
quắn 1.0	q u a w s n
quắt 1.0	q u a w s t
quằn 1.0	q u a w f n
quẳng 1.0	q u a w r n g
quặc 1.0	q u a w j c
quặm 1.0	q u a w j m
quặn 1.0	q u a w j n
quặt 1.0	q u a w j t
quẹo 1.0	q u e j o
quế 1.0	q u e e s
quết 1.0	q u e e s t
